Fecha,Hora,Temperatura,Humedad,Lluvia,Luz,Viento
2025-05-20,16:06:31,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:06:36,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:06:41,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:06:46,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:06:51,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:06:56,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:01,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:06,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:11,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:16,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:21,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:26,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:31,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:36,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:41,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:46,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:51,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:07:56,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:01,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:06,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:11,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:16,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:21,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:26,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:31,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:36,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:41,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:47,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:52,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:08:57,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:09:02,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:09:07,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:09:12,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:09:17,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:09:22,26.6,59.0,Sin lluvia,Nublado,4
